peek_average,times_appeared,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
5.0,36,0.0,5.944444444444445,35.72222222222222,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 1.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,178.02777777777777,190,-7.888888888888889,-8.0,1.259881576697424,-10,-6
5.25,81,0.0,5.518518518518518,31.814814814814813,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 1.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,180.53086419753086,191,-7.037037037037037,-8,2.3475755815545347,-10,-4
5.5,236,0.0,3.9364406779661016,17.097457627118644,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 1.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,179.42372881355934,190,-1.9364406779661016,-2.0,1.2683489186515848,-4,0
5.75,364,0.0,3.4505494505494507,14.368131868131869,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 1.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,179.63736263736263,193,-1.4505494505494505,-1.0,1.5711849944561287,-4,1
6.0,628,0.08280254777070063,3.020700636942675,12.186305732484076,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 1.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,178.89331210191082,193,-1.0207006369426752,-1.0,1.7511586010764404,-4,2
6.25,744,0.10752688172043011,2.6868279569892475,10.186827956989248,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 1.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,179.6465053763441,194,-0.6868279569892473,-1.0,1.7238845122413953,-4,2
6.5,1061,0.11875589066918002,2.358152686145146,8.19038642789821,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 1.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,179.6512723845429,195,-0.3581526861451461,0,1.622338743698879,-4,2
6.75,1165,0.15450643776824036,1.7012875536480687,4.422317596566524,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 1.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.0,179.7038626609442,196,0,0,0.0,0,0
7.0,1260,0.26587301587301587,1.5063492063492063,3.9873015873015873,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 1.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.0,178.47301587301587,195,0,0.0,0.0,0,0
7.25,1189,0.17830109335576114,1.672834314550042,4.317073170731708,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 1.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.0,179.50798990748527,194,0,0,0.0,0,0
