roll,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
2,0.0,6.027450980392157,36.576470588235296,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,179.65098039215687,196,-4.3843137254901965,-4,2.564396795507838,-10,0
3,0.0,4.839857651245552,23.73665480427046,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",0,179.23131672597864,192,-2.697508896797153,-3.0,2.093439592396967,-8,0
4,0.0,3.632536973833902,13.580204778156997,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",0,179.25028441410694,194,-1.4175199089874857,-2,1.355731187952887,-6,0
5,0.0,2.4036087369420702,6.306742640075973,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",0,179.16714150047483,193,-0.44349477682811017,-1,0.8576916247778903,-4,1
6,0.1799163179916318,1.2336122733612274,2.0606694560669454,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",0,179.34797768479777,198,0.3598326359832636,0.0,0.768503480359678,0,2
7,0.46513115802943056,0.5348688419705694,0.5348688419705694,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",0,179.0556621880998,194,0.5348688419705694,1,0.4989423180005961,0,1
8,0.20110573600552867,1.1831375259156875,1.9516240497581203,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",0,179.4588804422944,196,0.40221147201105734,0,0.8019309870217991,0,2
9,0.0,2.412805391743892,6.340353833192923,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",0,179.4212299915754,195,-0.44987363100252736,-1,0.8424686087319179,-4,1
10,0.0,3.629255989911728,13.558638083228248,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",0,179.48928121059268,194,-1.4123581336696092,-2,1.2723550949872235,-6,0
11,0.0,4.836431226765799,23.676579925650557,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",0,179.4200743494424,192,-2.657992565055762,-3.0,1.9723746815674703,-8,0
12,0.0,5.975778546712803,35.93425605536332,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",0,179.23875432525952,191,-4.103806228373703,-4,2.369427536602686,-10,0
