roll,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
2,1.0,0.0,0.0,"{'2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",5,126.45051194539249,135,10,10,0.0,10,10
3,0.0,1.0,1.0,"{'2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",5,126.53693693693694,139,5,5,0.0,5,5
4,0.0,2.0,4.0,"{'2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",5,126.74358974358974,147,0,0.0,0.0,0,0
5,0.0,3.0,9.0,"{'2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",5,126.49824253075572,139,-5,-5.0,0.0,-5,-5
6,0.0,4.0,16.0,"{'2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",5,126.45964125560538,146,-10,-10.0,0.0,-10,-10
7,0.0,5.0,25.0,"{'2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",5,126.59510357815442,144,-15,-15,0.0,-15,-15
8,0.0,6.0,36.0,"{'2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",5,126.55065123010131,141,-20,-20.0,0.0,-20,-20
9,0.0,7.0,49.0,"{'2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",5,126.67513611615244,140,-25,-25.0,0.0,-25,-25
10,0.0,8.0,64.0,"{'2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",5,126.57648401826484,143,-30,-30.0,0.0,-30,-30
11,0.0,9.0,81.0,"{'2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",5,126.48736462093864,140,-35,-35.0,0.0,-35,-35
12,0.0,10.0,100.0,"{'2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",5,126.52411575562701,143,-40,-40,0.0,-40,-40
