roll,times_appeared,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
2,290,0.0,1.0,1.0,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.73103448275862,138,4,4.0,0.0,4,4
3,541,1.0,0.0,0.0,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.42883548983365,152,8,8,0.0,8,8
4,847,0.0,1.0,1.0,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.44273907910272,140,4,4,0.0,4,4
5,1139,0.0,2.0,4.0,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.49692712906058,143,0,0,0.0,0,0
6,1418,0.0,3.0,9.0,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.56205923836389,146,-4,-4.0,0.0,-4,-4
7,1639,0.0,4.0,16.0,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.477120195241,142,-8,-8,0.0,-8,-8
8,1402,0.0,5.0,25.0,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.54636233951499,143,-12,-12.0,0.0,-12,-12
9,1158,0.0,6.0,36.0,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.64594127806564,142,-16,-16.0,0.0,-16,-16
10,774,0.0,7.0,49.0,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.51033591731266,139,-20,-20.0,0.0,-20,-20
11,527,0.0,8.0,64.0,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.43453510436433,140,-24,-24,0.0,-24,-24
12,265,0.0,9.0,81.0,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.67169811320754,138,-28,-28,0.0,-28,-28
