peek_average,times_appeared,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
5.0,43,0.0,4.953488372093023,25.13953488372093,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 1.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,126.55813953488372,133,-2.953488372093023,-3,0.7853870253725085,-4,-2
5.25,104,0.0,4.355769230769231,20.240384615384617,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 1.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,126.92307692307692,140,-2.355769230769231,-2.0,1.1313559973900658,-4,-1
5.5,230,0.0,4.030434782608696,17.795652173913044,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 1.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,126.94347826086957,142,-2.0304347826086957,-2.0,1.2482073722742284,-4,0
5.75,356,0.0,3.5112359550561796,14.9438202247191,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 1.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,126.5,148,-1.5112359550561798,-1.0,1.6193852564961537,-4,1
6.0,610,0.1,2.89672131147541,11.326229508196722,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 1.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,126.39016393442623,139,-0.8967213114754098,-1.0,1.714658833119578,-4,2
6.25,806,0.1054590570719603,2.640198511166253,9.972704714640198,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 1.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,126.68238213399503,141,-0.6401985111662531,-1.0,1.7337202193703807,-4,2
6.5,1047,0.10315186246418338,2.40305635148042,8.4603629417383,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 1.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,126.64374403056351,140,-0.40305635148042024,0,1.6395885727907669,-4,2
6.75,1204,0.12292358803986711,2.048172757475083,6.3305647840531565,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 1.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,126.56229235880399,142,-0.04817275747508306,0.0,1.4619604403787028,-4,2
7.0,1258,0.15500794912559618,1.7456279809220985,4.78537360890302,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 1.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,126.43243243243244,139,0.2543720190779014,1.0,1.318915972606442,-4,2
7.25,1185,0.19746835443037974,1.6168776371308018,4.180590717299578,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 1.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,126.56793248945148,143,0.3831223628691983,1,1.2520464488922132,-3,2
