roll,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
2,0.0,6.0,36.0,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 0, '12': 0}",1,126.50181818181818,138,-4,-4,0.0,-4,-4
3,0.0,5.0,25.0,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 0, '12': 0}",1,126.47927927927928,140,-3,-3,0.0,-3,-3
4,0.0,4.0,16.0,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 0, '12': 0}",1,126.48510131108462,137,-2,-2,0.0,-2,-2
5,0.0,3.0,9.0,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 0, '12': 0}",1,126.57727272727273,146,-1,-1.0,0.0,-1,-1
6,0.0,2.0,4.0,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 0, '12': 0}",1,126.42335766423358,140,0,0.0,0.0,0,0
7,0.0,1.0,1.0,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 0, '12': 0}",1,126.62144155057541,145,1,1,0.0,1,1
8,1.0,0.0,0.0,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 0, '12': 0}",1,126.47928571428571,140,2,2.0,0.0,2,2
9,0.0,1.0,1.0,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 0, '12': 0}",1,126.45694799658995,141,1,1,0.0,1,1
10,0.0,2.0,4.0,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 0, '12': 0}",1,126.46816479400749,140,0,0,0.0,0,0
11,0.0,3.0,9.0,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 0, '12': 0}",1,126.47469458987784,139,-1,-1,0.0,-1,-1
12,0.0,4.0,16.0,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 0, '12': 0}",1,126.56273764258555,140,-2,-2,0.0,-2,-2
