peek_average,times_appeared,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
5.0,49,0.5102040816326531,0.4897959183673469,0.4897959183673469,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,1085.938775510204,3662,6.040816326530612,8,2.0203050891044216,4,8
5.25,86,0.26744186046511625,0.9767441860465116,1.4651162790697674,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,1042.5697674418604,1981,4.093023255813954,4.0,2.8763862416611423,0,8
5.5,221,0.2669683257918552,1.1040723981900453,1.8461538461538463,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 1.0, '11': 0.0, '12': 0.0}",3.0,1580.5610859728506,3708,2.6877828054298645,3,2.38123059626994,0,6
5.75,379,0.21635883905013192,1.2955145118733509,2.54089709762533,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 1.0, '11': 0.0, '12': 0.0}",3.0,2012.7493403693932,4238,2.113456464379947,3,2.789872734212017,-3,6
6.0,654,0.23394495412844038,1.4281345565749235,3.220183486238532,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.024464831804281346, '8': 0.0, '9': 0.8073394495412844, '10': 0.16819571865443425, '11': 0.0, '12': 0.0}",2.1192660550458715,3158.406727828746,17132,1.1926605504587156,2.0,2.338087584718875,-6,6
6.25,778,0.16452442159383032,1.6362467866323906,3.94987146529563,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.015424164524421594, '8': 0.0, '9': 0.9845758354755784, '10': 0.0, '11': 0.0, '12': 0.0}",1.9691516709511567,3411.6015424164525,10859,0.7506426735218509,0.0,2.202614767259904,-4,4
6.5,1052,0.22718631178707224,1.5693916349809887,3.9743346007604563,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.03517110266159696, '8': 0.49714828897338403, '9': 0.467680608365019, '10': 0.0, '11': 0.0, '12': 0.0}",1.432509505703422,4425.900190114068,14176,0.6340304182509505,1.0,1.9248739158299801,-6,4
6.75,1130,0.20442477876106194,1.6371681415929205,4.330973451327433,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.03893805309734513, '8': 0.9610619469026549, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.9610619469026549,4455.696460176991,17487,0.35752212389380533,1.0,1.2625143491443207,-3,2
7.0,1351,0.14729829755736493,1.7520355292376018,4.865284974093265,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.9674315321983715, '7': 0.03256846780162842, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.9674315321983715,5693.074019245004,50606,0.23242042931162102,1,1.3207797879637033,-4,2
7.25,1117,0.20411817367949867,1.6213070725156669,4.255147717099374,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.02685765443151298, '6': 0.973142345568487, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.026857654431513,4587.077887197851,17490,0.39928379588182633,1,1.3265686687196367,-3,4
7.5,1105,0.19457013574660634,1.6877828054298643,4.51131221719457,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.7321266968325791, '6': 0.2678733031674208, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.7321266968325792,4165.298642533937,14177,0.5484162895927602,1,2.3034433362593485,-6,4
7.75,782,0.15728900255754474,1.6125319693094629,3.8452685421994883,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.9910485933503836, '6': 0.0, '7': 0.008951406649616368, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.9820971867007673,3558.618925831202,10864,0.7749360613810742,2.0,2.2076542283177654,-4,4
8.0,627,0.20733652312599682,1.5661881977671452,3.7767145135566187,"{'2': 0.0, '3': 0.0, '4': 0.5502392344497608, '5': 0.43381180223285487, '6': 0.0, '7': 0.01594896331738437, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.518341307814992,3144.1196172248806,17133,1.076555023923445,0,3.0371305396868475,-6,6
8.25,340,0.16176470588235295,1.4323529411764706,2.8323529411764707,"{'2': 0.0, '3': 0.0, '4': 1.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",3.0,2113.5558823529414,4237,1.7029411764705882,3.0,2.654654208005481,-3,6
8.5,212,0.2641509433962264,1.1650943396226414,2.1745283018867925,"{'2': 0.0, '3': 0.6084905660377359, '4': 0.3915094339622642, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",3.608490566037736,1617.867924528302,3706,2.957547169811321,4.0,3.3377191779058752,-4,8
8.75,76,0.3157894736842105,0.9342105263157895,1.4342105263157894,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,1019.8421052631579,2228,4.2631578947368425,4.0,3.0171439963543074,0,8
9.0,41,0.5121951219512195,0.4878048780487805,0.4878048780487805,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,837.390243902439,3651,6.048780487804878,8,2.0242433093898953,4,8
