peek_average,times_appeared,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
5.0,47,0.06382978723404255,1.851063829787234,4.617021276595745,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.02127659574468085, '8': 0.2127659574468085, '9': 0.48936170212765956, '10': 0.2765957446808511, '11': 0.0, '12': 0.0}",2.021276595744681,153.4255319148936,170,0.9148936170212766,0,2.124697290296468,-2,6
5.25,84,0.11904761904761904,1.7857142857142858,4.785714285714286,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.023809523809523808, '8': 0.32142857142857145, '9': 0.35714285714285715, '10': 0.2976190476190476, '11': 0.0, '12': 0.0}",1.9285714285714286,152.64285714285714,167,0.9523809523809523,1.0,2.317584751857514,-2,6
5.5,227,0.1762114537444934,1.7136563876651982,4.58590308370044,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.03524229074889868, '7': 0.06607929515418502, '8': 0.5066079295154186, '9': 0.14096916299559473, '10': 0.23348017621145375, '11': 0.01762114537444934, '12': 0.0}",1.5947136563876652,152.1806167400881,165,0.9427312775330396,0,2.0200932102037252,-4,8
5.75,370,0.15405405405405406,2.045945945945946,6.489189189189189,"{'2': 0.0, '3': 0.0, '4': 0.002702702702702703, '5': 0.043243243243243246, '6': 0.05945945945945946, '7': 0.1972972972972973, '8': 0.34864864864864864, '9': 0.2891891891891892, '10': 0.05945945945945946, '11': 0.0, '12': 0.0}",1.2594594594594595,152.46486486486486,169,0.22162162162162163,0.0,2.160138399552745,-10,6
6.0,625,0.152,1.9088,5.8,"{'2': 0.0, '3': 0.0, '4': 0.0032, '5': 0.0368, '6': 0.0656, '7': 0.192, '8': 0.4, '9': 0.2704, '10': 0.032, '11': 0.0, '12': 0.0}",1.1856,152.5088,171,0.216,0,2.071571928852642,-18,6
6.25,800,0.1425,1.79875,4.88625,"{'2': 0.0, '3': 0.0, '4': 0.0075, '5': 0.0275, '6': 0.0525, '7': 0.21125, '8': 0.37, '9': 0.26625, '10': 0.06125, '11': 0.00375, '12': 0.0}",1.23125,152.81375,167,0.2375,0.0,2.014613383221411,-18,6
6.5,1042,0.1276391554702495,1.9309021113243763,5.760076775431862,"{'2': 0.0, '3': 0.0019193857965451055, '4': 0.03934740882917467, '5': 0.044145873320537425, '6': 0.16122840690978887, '7': 0.1276391554702495, '8': 0.45777351247600767, '9': 0.12476007677543186, '10': 0.04318618042226487, '11': 0.0, '12': 0.0}",1.2120921305182342,152.46737044145874,167,-0.14299424184261036,0.0,2.576717944960658,-18,6
6.75,1172,0.14846416382252559,1.9436860068259385,5.907849829351536,"{'2': 0.0, '3': 0.0008532423208191126, '4': 0.02901023890784983, '5': 0.0878839590443686, '6': 0.21160409556313994, '7': 0.30204778156996587, '8': 0.24061433447098976, '9': 0.10409556313993173, '10': 0.023890784982935155, '11': 0.0, '12': 0.0}",0.9982935153583617,152.56484641638227,167,-0.24488054607508533,0.0,2.236396256927353,-18,6
7.0,1232,0.15097402597402598,1.885551948051948,5.651785714285714,"{'2': 0.0, '3': 0.0, '4': 0.030844155844155844, '5': 0.08279220779220779, '6': 0.237012987012987, '7': 0.3133116883116883, '8': 0.237012987012987, '9': 0.08116883116883117, '10': 0.017857142857142856, '11': 0.0, '12': 0.0}",0.948051948051948,152.48457792207793,166,-0.2069805194805195,0.0,2.21218469920704,-18,6
7.25,1168,0.15154109589041095,1.9777397260273972,6.183219178082192,"{'2': 0.0, '3': 0.0, '4': 0.023116438356164382, '5': 0.0779109589041096, '6': 0.2525684931506849, '7': 0.2970890410958904, '8': 0.23972602739726026, '9': 0.07277397260273973, '10': 0.0351027397260274, '11': 0.0017123287671232876, '12': 0.0}",0.9751712328767124,152.54109589041096,165,-0.3159246575342466,0.0,2.5188958220360487,-20,6
