roll,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
2,0.0,4.1022727272727275,18.84469696969697,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,152.89772727272728,166,-2.234848484848485,-2.0,3.2567212710073785,-18,0
3,0.0,3.24006908462867,12.31433506044905,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,152.72711571675302,167,-1.2055267702936097,-1,3.0214178694374865,-24,3
4,0.05035128805620609,2.4074941451990632,7.585480093676815,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,152.38173302107728,165,-0.14988290398126464,0.0,2.9574582311650737,-20,6
5,0.1449814126394052,1.678438661710037,4.29368029739777,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,152.5604089219331,168,0.45539033457249073,1.0,2.439378254002819,-16,4
6,0.25920471281296026,1.2393225331369662,2.582474226804124,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,152.55154639175257,168,0.4491899852724595,0.0,1.6878765136301905,-12,2
7,0.2016656751933373,1.1528851873884594,2.0095181439619276,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,152.52647233789412,167,0.2962522308149911,1,1.0862962382767085,-8,1
8,0.2588757396449704,1.2714497041420119,2.6856508875739644,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,152.57470414201183,171,0.4378698224852071,0.0,1.6568680524468198,-6,2
9,0.12824956672443674,1.733102253032929,4.499133448873484,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,152.4254766031196,167,0.341421143847487,1.0,2.394247237573069,-9,4
10,0.054678007290400975,2.405832320777643,7.586877278250304,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,152.60145808019442,169,-0.0583232077764277,0,2.7827240076423174,-12,6
11,0.0017331022530329288,3.1802426343154244,11.668977469670711,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,152.5632582322357,170,-0.7920277296360485,-1,2.3433724983229616,-15,8
12,0.0,4.053191489361702,18.159574468085108,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,152.23758865248226,164,-2.2836879432624113,-2.0,2.9906764755281716,-18,0
