peek_average,times_appeared,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
5.0,41,0.6341463414634146,0.36585365853658536,0.36585365853658536,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,136.53658536585365,143,6.536585365853658,8.0,1.9506096607933858,4.0,8.0
5.25,103,0.1941747572815534,1.0194174757281553,1.4466019417475728,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 1.0, '11': 0.0, '12': 0.0}",3.0,137.1747572815534,147,2.941747572815534,3.0,1.924176639390829,0.0,6.0
5.5,205,0.28292682926829266,1.0,1.5658536585365854,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 1.0, '11': 0.0, '12': 0.0}",3.0,137.27317073170732,152,3.0,3.0,2.2622217085916954,0.0,6.0
5.75,340,0.15588235294117647,1.4058823529411764,2.8117647058823527,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 1.0, '11': 0.0, '12': 0.0}",3.0,137.6794117647059,156,1.7823529411764707,3.0,2.745816940643576,-3.0,6.0
6.0,646,0.22445820433436534,1.4226006191950464,3.0789473684210527,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,137.35294117647058,152,1.1547987616099071,2.0,2.0560065619292507,-2.0,4.0
6.25,798,0.15789473684210525,1.637844611528822,3.8909774436090228,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 1.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,137.48245614035088,150,0.36215538847117795,0.0,1.0999812321495954,-2.0,2.0
6.5,1106,0.21338155515370705,1.5506329113924051,3.852622061482821,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 1.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,137.6365280289331,150,0.44936708860759494,1.0,1.2039394450286736,-2.0,2.0
6.75,1119,0.18945487042001788,1.6282394995531724,4.18230563002681,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 1.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,137.61930294906165,155,0.3717605004468275,1.0,1.237946403759671,-3.0,2.0
7.0,1326,0.24509803921568626,1.5829562594268476,4.233031674208145,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 1.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.0,137.70135746606334,153,0.0,0.0,0.0,0.0,0.0
7.25,1217,0.21857025472473296,1.5957271980279375,4.185702547247329,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 1.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,137.5784716516023,153,0.40427280197206245,1.0,1.2809002351315217,-3.0,2.0
7.5,1084,0.2066420664206642,1.5857933579335792,3.9234317343173433,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 1.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,137.6549815498155,155,0.41420664206642066,1.0,1.187430794100285,-2.0,2.0
7.75,745,0.17315436241610738,1.5516778523489934,3.6268456375838927,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 1.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,137.61879194630873,149,0.4483221476510067,1.0,1.1048891850023541,-2.0,2.0
8.0,609,0.23645320197044334,1.3645320197044335,2.8916256157635467,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 1.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,137.52052545155993,151,1.270935960591133,2.0,2.0311292743486056,-2.0,4.0
8.25,340,0.14411764705882352,1.4323529411764706,2.8264705882352943,"{'2': 0.0, '3': 0.0, '4': 1.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",3.0,137.40588235294118,156,1.7029411764705882,3.0,2.644634496286484,-3.0,6.0
8.5,190,0.3,0.9894736842105263,1.568421052631579,"{'2': 0.0, '3': 0.0, '4': 1.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",3.0,136.94736842105263,148,3.031578947368421,3.0,2.309184017584495,0.0,6.0
8.75,91,0.3516483516483517,0.8681318681318682,1.3076923076923077,"{'2': 0.0, '3': 0.0, '4': 1.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",3.0,137.92307692307693,147,3.3956043956043955,3.0,2.2453859894811496,0.0,6.0
9.0,40,0.4,0.6,0.6,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,138.025,147,5.6,4.0,1.9845557534273353,4.0,8.0
