roll,times_appeared,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
2,284,0.0,3.0211267605633805,10.225352112676056,"{'2': 0.0, '3': 0.045774647887323945, '4': 0.35563380281690143, '5': 0.176056338028169, '6': 0.3767605633802817, '7': 0.045774647887323945, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.9788732394366197,137.55633802816902,153,-0.9225352112676056,-2.0,1.4491325230727394,-2.0,4.0
3,527,0.030360531309297913,2.44022770398482,7.222011385199241,"{'2': 0.0, '3': 0.030360531309297913, '4': 0.23908918406072105, '5': 0.14231499051233396, '6': 0.4648956356736243, '7': 0.09487666034155598, '8': 0.028462998102466792, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.6166982922201139,137.56546489563567,149,0.4098671726755218,0.0,2.1579584294151304,-3.0,8.0
4,788,0.1751269035532995,1.8299492385786802,4.7055837563451774,"{'2': 0.0, '3': 0.013959390862944163, '4': 0.1751269035532995, '5': 0.1319796954314721, '6': 0.4593908629441624, '7': 0.11294416243654823, '8': 0.1065989847715736, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.4111675126903553,137.25634517766497,152,1.1573604060913705,0.0,2.4800313842043846,-2.0,6.0
5,1140,0.12631578947368421,1.4385964912280702,3.0,"{'2': 0.0, '3': 0.0, '4': 0.11140350877192982, '5': 0.12631578947368421, '6': 0.4131578947368421, '7': 0.13333333333333333, '8': 0.21578947368421053, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.2157894736842105,137.70526315789473,155,1.0368421052631578,1.0,1.6061920983176123,-1.0,4.0
6,1427,0.4337771548703574,0.9726699369306236,1.8766643307638402,"{'2': 0.0, '3': 0.0, '4': 0.06166783461807989, '5': 0.06587245970567625, '6': 0.4337771548703574, '7': 0.13945339873861248, '8': 0.25367904695164684, '9': 0.04555010511562719, '10': 0.0, '11': 0.0, '12': 0.0}",1.0953048353188508,137.47582340574633,156,0.9081990189208129,0.0,1.164870942980328,-2.0,2.0
7,1652,0.1967312348668281,1.0217917675544794,1.5665859564164648,"{'2': 0.0, '3': 0.0, '4': 0.024818401937046004, '5': 0.056295399515738496, '6': 0.3171912832929782, '7': 0.1967312348668281, '8': 0.32142857142857145, '9': 0.05447941888619855, '10': 0.029055690072639227, '11': 0.0, '12': 0.0}",1.0217917675544794,137.61924939467312,152,0.47699757869249393,1.0,0.9468382490643087,-3.0,1.0
8,1344,0.4270833333333333,0.9747023809523809,1.8511904761904763,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.036458333333333336, '6': 0.26711309523809523, '7': 0.13988095238095238, '8': 0.4270833333333333, '9': 0.06770833333333333, '10': 0.061755952380952384, '11': 0.0, '12': 0.0}",1.087797619047619,137.50372023809524,153,0.9166666666666666,0.0,1.13387778375512,-2.0,2.0
9,1123,0.12911843276936777,1.413178984861977,2.92520035618878,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.21371326803205698, '7': 0.11487088156723063, '8': 0.42831700801424755, '9': 0.12911843276936777, '10': 0.11398040961709706, '11': 0.0, '12': 0.0}",1.2422083704363314,137.53072128227961,154,1.0730186999109528,1.0,1.6076944183479822,-1.0,4.0
10,809,0.1619283065512979,1.9233621755253398,5.1100123609394315,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.1211372064276885, '7': 0.1446229913473424, '8': 0.4326328800988875, '9': 0.13473423980222496, '10': 0.1619283065512979, '11': 0.004944375772558714, '12': 0.0}",1.3288009888751544,137.59332509270703,155,1.0185414091470952,-0.0,2.4293792444663826,-2.0,6.0
11,621,0.04186795491143317,2.3413848631239937,6.8663446054750406,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.033816425120772944, '7': 0.0853462157809984, '8': 0.42028985507246375, '9': 0.15136876006441224, '10': 0.2673107890499195, '11': 0.04186795491143317, '12': 0.0}",1.7262479871175522,137.80676328502415,156,0.6151368760064412,-0.0,2.3324560340099834,-3.0,8.0
12,285,0.0,3.094736842105263,10.617543859649123,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.03859649122807018, '8': 0.41754385964912283, '9': 0.1824561403508772, '10': 0.32280701754385965, '11': 0.03859649122807018, '12': 0.0}",1.9052631578947368,137.88771929824563,152,-1.0456140350877192,-2.0,1.3896080832934283,-2.0,4.0
