roll,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
2,0.0,3.0211267605633805,10.225352112676056,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,137.55633802816902,153,-0.9225352112676056,-2.0,1.4491325230727394,-2.0,4.0
3,0.030360531309297913,2.44022770398482,7.222011385199241,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,137.56546489563567,149,0.4098671726755218,0.0,2.1579584294151304,-3.0,8.0
4,0.1751269035532995,1.8299492385786802,4.7055837563451774,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,137.25634517766497,152,1.1573604060913705,0.0,2.4800313842043846,-2.0,6.0
5,0.12631578947368421,1.4385964912280702,3.0,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,137.70526315789473,155,1.0368421052631578,1.0,1.6061920983176123,-1.0,4.0
6,0.4337771548703574,0.9726699369306236,1.8766643307638402,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,137.47582340574633,156,0.9081990189208129,0.0,1.164870942980328,-2.0,2.0
7,0.1967312348668281,1.0217917675544794,1.5665859564164648,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,137.61924939467312,152,0.47699757869249393,1.0,0.9468382490643087,-3.0,1.0
8,0.4270833333333333,0.9747023809523809,1.8511904761904763,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,137.50372023809524,153,0.9166666666666666,0.0,1.13387778375512,-2.0,2.0
9,0.12911843276936777,1.413178984861977,2.92520035618878,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,137.53072128227961,154,1.0730186999109528,1.0,1.6076944183479822,-1.0,4.0
10,0.1619283065512979,1.9233621755253398,5.1100123609394315,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,137.59332509270703,155,1.0185414091470952,-0.0,2.4293792444663826,-2.0,6.0
11,0.04186795491143317,2.3413848631239937,6.8663446054750406,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,137.80676328502415,156,0.6151368760064412,-0.0,2.3324560340099834,-3.0,8.0
12,0.0,3.094736842105263,10.617543859649123,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,137.88771929824563,152,-1.0456140350877192,-2.0,1.3896080832934283,-2.0,4.0
