peek_average,times_appeared,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
5.0,41,0.14634146341463414,4.829268292682927,33.80487804878049,"{'2': 0.17073170731707318, '3': 0.12195121951219512, '4': 0.04878048780487805, '5': 0.14634146341463414, '6': 0.0975609756097561, '7': 0.07317073170731707, '8': 0.024390243902439025, '9': 0.04878048780487805, '10': 0.0975609756097561, '11': 0.0975609756097561, '12': 0.07317073170731707}",3.048780487804878,134.6341463414634,144,-9.585365853658537,-4,14.78677721776469,-40,10
5.25,69,0.08695652173913043,4.028985507246377,23.855072463768117,"{'2': 0.08695652173913043, '3': 0.15942028985507245, '4': 0.028985507246376812, '5': 0.08695652173913043, '6': 0.10144927536231885, '7': 0.07246376811594203, '8': 0.14492753623188406, '9': 0.07246376811594203, '10': 0.10144927536231885, '11': 0.057971014492753624, '12': 0.08695652173913043}",2.6956521739130435,135.2753623188406,144,-6.463768115942029,-1,11.501380620635645,-30,10
5.5,221,0.12217194570135746,3.4615384615384617,18.79185520361991,"{'2': 0.08144796380090498, '3': 0.07692307692307693, '4': 0.08597285067873303, '5': 0.10407239819004525, '6': 0.04524886877828054, '7': 0.10407239819004525, '8': 0.09502262443438914, '9': 0.07692307692307693, '10': 0.13574660633484162, '11': 0.1085972850678733, '12': 0.08597285067873303}",2.746606334841629,134.89592760180994,145,-4.701357466063349,0,10.256769293043892,-40,10
5.75,351,0.1168091168091168,3.2222222222222223,16.247863247863247,"{'2': 0.05413105413105413, '3': 0.08547008547008547, '4': 0.07407407407407407, '5': 0.09971509971509972, '6': 0.09971509971509972, '7': 0.08831908831908832, '8': 0.11965811965811966, '9': 0.10826210826210826, '10': 0.08547008547008547, '11': 0.09971509971509972, '12': 0.08547008547008547}",2.5527065527065527,134.6866096866097,149,-4.145299145299146,-1,9.115385697284367,-40,10
6.0,615,0.0910569105691057,3.6471544715447153,19.383739837398373,"{'2': 0.0959349593495935, '3': 0.0959349593495935, '4': 0.11382113821138211, '5': 0.11056910569105691, '6': 0.08130081300813008, '7': 0.08130081300813008, '8': 0.07967479674796749, '9': 0.08943089430894309, '10': 0.1040650406504065, '11': 0.07154471544715447, '12': 0.07642276422764227}",2.7463414634146344,134.94146341463414,147,-6.177235772357723,-3,9.87063566203614,-40,10
6.25,756,0.10185185185185185,3.0978835978835977,14.735449735449736,"{'2': 0.0873015873015873, '3': 0.08465608465608465, '4': 0.06878306878306878, '5': 0.08465608465608465, '6': 0.08465608465608465, '7': 0.09788359788359788, '8': 0.09259259259259259, '9': 0.10052910052910052, '10': 0.09391534391534391, '11': 0.1111111111111111, '12': 0.09391534391534391}",2.7248677248677247,134.77645502645504,152,-4.666666666666667,0.0,9.038841864512047,-40,10
6.5,1036,0.07142857142857142,3.142857142857143,14.554054054054054,"{'2': 0.0916988416988417, '3': 0.09266409266409266, '4': 0.0888030888030888, '5': 0.09845559845559845, '6': 0.09652509652509653, '7': 0.08204633204633205, '8': 0.07625482625482626, '9': 0.08976833976833977, '10': 0.10038610038610038, '11': 0.09942084942084942, '12': 0.08397683397683398}",2.7635135135135136,135.15347490347492,155,-4.879343629343629,-1.0,8.665770185165,-40,10
6.75,1149,0.07919930374238468,3.2114882506527413,14.927763272410791,"{'2': 0.09138381201044386, '3': 0.09225413402959094, '4': 0.08964316797214969, '5': 0.09051348999129678, '6': 0.09834638816362054, '7': 0.08529155787641428, '8': 0.07919930374238468, '9': 0.08616187989556136, '10': 0.11053089643167972, '11': 0.0835509138381201, '12': 0.09312445604873804}",2.7571801566579635,135.12271540469973,151,-5.132288946910357,-2,8.4991233448352,-40,8
7.0,1256,0.09792993630573249,3.122611464968153,14.44267515923567,"{'2': 0.08837579617834394, '3': 0.08200636942675159, '4': 0.09713375796178345, '5': 0.09235668789808917, '6': 0.08280254777070063, '7': 0.08280254777070063, '8': 0.09474522292993631, '9': 0.08519108280254777, '10': 0.08917197452229299, '11': 0.10191082802547771, '12': 0.1035031847133758}",2.786624203821656,134.8734076433121,147,-5.103503184713376,-2.0,8.567172804917183,-40,10
7.25,1196,0.08695652173913043,3.1137123745819397,14.115384615384615,"{'2': 0.09280936454849498, '3': 0.08361204013377926, '4': 0.09364548494983277, '5': 0.08779264214046822, '6': 0.11371237458193979, '7': 0.08612040133779264, '8': 0.07775919732441472, '9': 0.08695652173913043, '10': 0.09866220735785954, '11': 0.09448160535117058, '12': 0.08444816053511706}",2.7165551839464883,134.9891304347826,148,-4.85200668896321,-2.0,8.139207510482823,-40,10
