roll,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
2,0.07394366197183098,5.102112676056338,35.99647887323944,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,134.80281690140845,149,-8.774647887323944,-2.0,14.436601680224415,-40,10
3,0.1005586592178771,3.9404096834264433,23.553072625698324,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,134.9459962756052,149,-5.247672253258846,-1,11.876232032735246,-35,8
4,0.08705357142857142,3.4888392857142856,18.591517857142858,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,134.94866071428572,153,-5.145089285714286,0.0,10.58327648798185,-30,6
5,0.10292812777284827,3.0,13.472049689440993,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,135.24312333629103,149,-4.412599822537711,-1,8.309891657705675,-25,4
6,0.08775811209439528,2.868731563421829,11.3023598820059,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,135.06342182890856,148,-4.728613569321534,-2.0,6.595991726698815,-20,2
7,0.08400926998841252,2.7375434530706837,10.007531865585168,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,135.0196987253766,155,-4.532444959443801,-3.0,5.763638297508355,-15,1
8,0.09283018867924528,2.798490566037736,10.846792452830188,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,135.04603773584907,149,-4.439245283018868,-2,6.591464271515161,-20,2
9,0.09749552772808587,3.1225402504472273,14.301431127012522,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,134.84883720930233,150,-4.82737030411449,-1.0,8.543096417046494,-25,4
10,0.09937888198757763,3.5875776397515526,19.59503105590062,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,135.15155279503105,151,-5.518012422360249,0,10.955642632787816,-30,6
11,0.07942238267148015,4.063176895306859,24.65162454873646,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,134.93862815884478,149,-5.691335740072202,-1.0,12.119076052276187,-35,8
12,0.07352941176470588,5.154411764705882,36.294117647058826,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,134.89705882352942,147,-8.610294117647058,-2.0,14.025634303850673,-40,10
