guess,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
2,0.022850924918389554,4.990206746463548,30.5310119695321,"{'2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",5,134.9532100108814,153,-14.951033732317736,-15,11.869056660528816,-40,10
3,0.05895196506550218,4.0152838427947595,21.467248908296945,"{'2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",4,135.14082969432314,155,-8.06113537117904,-8.0,9.252533336106008,-28,8
4,0.08734602463605823,3.25531914893617,15.183650615901456,"{'2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",3,134.8622620380739,152,-3.765957446808511,-3,6.428468520446108,-18,6
5,0.12159329140461216,2.461215932914046,9.360587002096436,"{'2': 0, '3': 0, '4': 0, '5': 1, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,135,151,-0.9224318658280922,0.0,3.6367397674958992,-10,4
6,0.12539515279241306,2.149631190727081,6.870389884088514,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,135.16649104320337,154,-0.14963119072708114,0,1.5006160376752682,-4,2
7,0.1636568848758465,2.007900677200903,6.132054176072235,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 1, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",0,134.96388261851015,149,0,0.0,0.0,0,0
8,0.14402810304449648,2.0562060889929743,6.667447306791569,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 0, '12': 0}",1,135.09953161592506,149,-0.05620608899297424,0.0,1.56279355328387,-4,2
9,0.12111111111111111,2.5322222222222224,9.803333333333333,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 0, '12': 0}",2,135.1688888888889,150,-1.0644444444444445,0.0,3.6850813418911086,-10,4
10,0.0855614973262032,3.1818181818181817,14.48663101604278,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 1, '11': 0, '12': 0}",3,134.9903743315508,148,-3.5454545454545454,-3,6.269450947567858,-18,6
11,0.04695837780149413,4.071504802561366,21.762006403415153,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 1, '12': 0}",4,135.0907150480256,152,-8.286019210245465,-8,9.11297485670551,-28,8
12,0.023337222870478413,4.975495915985998,30.7561260210035,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 1}",5,134.78179696616104,149,-14.877479579929988,-15,12.255178924132093,-40,10
