peek_average,times_appeared,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
5.0,52,0.0,2.1346153846153846,5.019230769230769,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,137.30769230769232,145,-0.2692307692307692,0.0,1.373636716186015,-2.0,2.0
5.25,83,0.26506024096385544,1.5301204819277108,3.674698795180723,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,137.16867469879517,151,0.9397590361445783,0.0,2.32352443389065,-2.0,4.0
5.5,248,0.1774193548387097,1.935483870967742,5.290322580645161,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 1.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,137.08467741935485,150,0.06451612903225806,0.0,1.245181387588937,-2.0,2.0
5.75,364,0.1813186813186813,1.8214285714285714,5.096153846153846,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 1.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,137.7967032967033,154,0.17857142857142858,0.0,1.3354592457607086,-2.0,2.0
6.0,665,0.16842105263157894,1.631578947368421,4.064661654135338,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 1.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,137.53984962406014,150,0.3684210526315789,1.0,1.185210597234552,-2.0,2.0
6.25,780,0.17307692307692307,1.617948717948718,3.9205128205128204,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 1.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,137.45384615384614,152,0.382051282051282,1.0,1.1421151907966283,-2.0,2.0
6.5,1036,0.21814671814671815,1.5106177606177607,3.636100386100386,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 1.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0,137.56853281853282,152,0.4893822393822394,1.0,1.16423481729011,-2.0,2.0
6.75,1166,0.1895368782161235,1.6355060034305318,4.204974271012007,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 1.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.0,137.31046312178387,157,0.0,0.0,0.0,-0.0,-0.0
7.0,1270,0.25354330708661416,1.5700787401574803,4.190551181102363,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 1.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.0,137.4755905511811,156,0.0,0.0,0.0,0.0,0.0
7.25,1152,0.2048611111111111,1.6145833333333333,4.220486111111111,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 1.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.0,137.47829861111111,153,0.0,-0.0,0.0,-0.0,-0.0
