roll,times_appeared,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
2,288,0.0,3.9583333333333335,15.92361111111111,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.14930555555555555, '6': 0.7430555555555556, '7': 0.1076388888888889, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.0416666666666667,137.23958333333334,151,-1.7847222222222223,-2.0,0.6209265241190993,-2.0,-0.0
3,531,0.0,3.1431261770244823,10.182674199623353,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0903954802259887, '6': 0.6760828625235404, '7': 0.2335216572504708, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.8568738229755178,137.2975517890772,151,-0.6760828625235404,-1.0,0.4684101016305331,-1.0,0.0
4,824,0.0,2.345873786407767,5.891990291262136,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.050970873786407765, '6': 0.5825242718446602, '7': 0.33616504854368934, '8': 0.03033980582524272, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.7148058252427184,137.6601941747573,156,0.0412621359223301,0.0,0.569151366066454,-2.0,2.0
5,1117,0.021486123545210387,1.567591763652641,2.9838854073410923,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.021486123545210387, '6': 0.5085049239033125, '7': 0.35094001790510293, '8': 0.11906893464637422, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.6705461056401074,137.53267681289168,153,0.4753804834377798,1.0,0.8637320888051258,-1.0,4.0
6,1357,0.4075165806927045,0.7767133382461312,1.1451731761238024,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.4075165806927045, '7': 0.40825350036845987, '8': 0.18422991893883567, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.5917464996315401,137.40825350036846,151,0.815033161385409,0.0,0.9831070649282818,0.0,2.0
7,1651,0.4718352513628104,0.5281647486371895,0.5281647486371895,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.2604482132041187, '7': 0.4718352513628104, '8': 0.2677165354330709, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.5281647486371895,137.51544518473654,152,0.5281647486371895,1.0,0.49935736835084876,0.0,1.0
8,1420,0.41056338028169015,0.7788732394366197,1.1577464788732394,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.18943661971830986, '7': 0.4, '8': 0.41056338028169015, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.6,137.51901408450703,157,0.8211267605633803,0.0,0.9842187449097081,0.0,2.0
9,1113,0.019766397124887692,1.5696316262353998,2.9622641509433962,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.1069182389937107, '7': 0.3755615453728661, '8': 0.4977538185085355, '9': 0.019766397124887692, '10': 0.0, '11': 0.0, '12': 0.0}",0.6442048517520216,137.5561545372866,154,0.46990116801437554,1.0,0.8371122473622556,-1.0,4.0
10,809,0.0,2.3868974042027196,6.087762669962917,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.04326328800988875, '7': 0.3337453646477132, '8': 0.5896168108776267, '9': 0.03337453646477132, '10': 0.0, '11': 0.0, '12': 0.0}",0.6996291718170581,137.42521631644004,154,-0.019777503090234856,-0.0,0.553659696334082,-2.0,2.0
11,605,0.0,3.1669421487603304,10.323966942148761,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.24462809917355371, '8': 0.6776859504132231, '9': 0.07768595041322314, '10': 0.0, '11': 0.0, '12': 0.0}",0.8330578512396695,137.2,148,-0.6776859504132231,-1.0,0.46774922586323947,-1.0,-0.0
12,285,0.0,3.957894736842105,15.894736842105264,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.09473684210526316, '8': 0.7684210526315789, '9': 0.1368421052631579, '10': 0.0, '11': 0.0, '12': 0.0}",1.0421052631578946,137.2877192982456,151,-1.8105263157894738,-2.0,0.5867324805279227,-2.0,-0.0
