roll,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
2,0.0,3.9583333333333335,15.92361111111111,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,137.23958333333334,151,-1.7847222222222223,-2.0,0.6209265241190993,-2.0,-0.0
3,0.0,3.1431261770244823,10.182674199623353,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",0,137.2975517890772,151,-0.6760828625235404,-1.0,0.4684101016305331,-1.0,0.0
4,0.0,2.345873786407767,5.891990291262136,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",0,137.6601941747573,156,0.0412621359223301,0.0,0.569151366066454,-2.0,2.0
5,0.021486123545210387,1.567591763652641,2.9838854073410923,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",0,137.53267681289168,153,0.4753804834377798,1.0,0.8637320888051258,-1.0,4.0
6,0.4075165806927045,0.7767133382461312,1.1451731761238024,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",0,137.40825350036846,151,0.815033161385409,0.0,0.9831070649282818,0.0,2.0
7,0.4718352513628104,0.5281647486371895,0.5281647486371895,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",0,137.51544518473654,152,0.5281647486371895,1.0,0.49935736835084876,0.0,1.0
8,0.41056338028169015,0.7788732394366197,1.1577464788732394,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",0,137.51901408450703,157,0.8211267605633803,0.0,0.9842187449097081,0.0,2.0
9,0.019766397124887692,1.5696316262353998,2.9622641509433962,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",0,137.5561545372866,154,0.46990116801437554,1.0,0.8371122473622556,-1.0,4.0
10,0.0,2.3868974042027196,6.087762669962917,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",0,137.42521631644004,154,-0.019777503090234856,-0.0,0.553659696334082,-2.0,2.0
11,0.0,3.1669421487603304,10.323966942148761,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",0,137.2,148,-0.6776859504132231,-1.0,0.46774922586323947,-1.0,-0.0
12,0.0,3.957894736842105,15.894736842105264,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,137.2877192982456,151,-1.8105263157894738,-2.0,0.5867324805279227,-2.0,-0.0
