peek_average,times_appeared,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
5.0,47,0.48936170212765956,0.6170212765957447,0.9148936170212766,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0425531914893617, '8': 0.0, '9': 0.02127659574468085, '10': 0.0, '11': 0.9361702127659575, '12': 0.0}",3.7872340425531914,446.0851063829787,1114,5.702127659574468,4,2.466425803509669,0,8
5.25,89,0.29213483146067415,0.9775280898876404,1.5393258426966292,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.011235955056179775, '10': 0.0, '11': 0.9887640449438202, '12': 0.0}",3.9775280898876404,401.70786516853934,1083,4.112359550561798,4,3.0205290108883207,-2,8
5.5,197,0.27411167512690354,1.1370558375634519,2.1421319796954315,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.583756345177665, '11': 0.41624365482233505, '12': 0.0}",3.416243654822335,347.2233502538071,861,2.8071065989847717,3,3.1901235107890233,-4,8
5.75,350,0.1457142857142857,1.74,4.545714285714285,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.25142857142857145, '8': 0.0, '9': 0.0, '10': 0.7485714285714286, '11': 0.0, '12': 0.0}",2.2457142857142856,352.8285714285714,1145,1.2085714285714286,0.0,2.5803835067991883,-3,6
6.0,621,0.20772946859903382,1.714975845410628,4.777777777777778,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.001610305958132045, '7': 0.3075684380032206, '8': 0.0, '9': 0.4331723027375201, '10': 0.2576489533011272, '11': 0.0, '12': 0.0}",1.640901771336554,329.09178743961354,1137,0.8663446054750402,0,2.2468280876046296,-6,6
6.25,803,0.16687422166874222,1.7347447073474471,4.62640099626401,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.47696139476961397, '8': 0.0, '9': 0.523038605230386, '10': 0.0, '11': 0.0, '12': 0.0}",1.046077210460772,324.44707347447076,550,0.5155666251556662,0,1.6436059959149043,-4,4
6.5,1057,0.1892147587511826,1.6811731315042573,4.468306527909177,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.3547776726584674, '8': 0.2251655629139073, '9': 0.42005676442762535, '10': 0.0, '11': 0.0, '12': 0.0}",1.065279091769158,319.0331125827815,449,0.4266792809839167,0,1.7458195859758119,-6,4
6.75,1150,0.16956521739130434,1.7904347826086957,4.993913043478261,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.13478260869565217, '7': 0.3347826086956522, '8': 0.5304347826086957, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.6652173913043479,320.4817391304348,548,0.13391304347826086,0.0,1.1106641045309005,-4,2
7.0,1279,0.19077404222048475,1.7114933541829553,4.82017200938233,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.7177482408131353, '7': 0.28225175918686474, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.7177482408131353,315.5308835027365,538,0.17670054730258014,0,1.1788650268016163,-4,2
7.25,1158,0.17443868739205526,1.8454231433506045,5.310017271157167,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.4283246977547496, '6': 0.37219343696027635, '7': 0.19948186528497408, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",1.2288428324697755,320.5267702936097,543,0.09067357512953368,0.0,2.0699686790918506,-8,4
