roll,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
2,0.0,2.59375,8.447916666666666,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,330.68402777777777,721,0.2916666666666667,0.0,2.0848716736217563,-2,4
3,0.14388489208633093,1.933453237410072,5.494604316546763,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,332.6438848920863,1119,1.7859712230215827,0.0,2.960865035378842,-3,8
4,0.23393939393939395,1.5151515151515151,3.9127272727272726,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,330.34181818181816,1129,2.0775757575757576,2,2.7134676591541806,-6,6
5,0.30514705882352944,1.2279411764705883,2.672794117647059,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,326.04319852941177,707,1.6525735294117647,1.0,2.124174777613368,-4,4
6,0.19645390070921986,1.2411347517730495,2.3858156028368795,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,323.7113475177305,771,0.6184397163120567,0.0,1.581637122794442,-6,2
7,0.2465753424657534,1.3150684931506849,2.715902322811197,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,322.3013698630137,1137,-0.08576533650982728,0,1.3608807075144291,-8,1
8,0.12761355443403027,1.5832732516222061,3.571737563085797,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,323.2134102379236,1145,-0.049026676279740444,0,1.7859210068539442,-6,2
9,0.2078853046594982,1.7956989247311828,4.878136200716846,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,325.089605734767,935,0.5394265232974911,0.0,2.5282733491908305,-9,4
10,0.13230035756853398,2.1775923718712753,6.833134684147795,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,330.4433849821216,1112,0.8986889153754469,0,2.883246926206359,-6,6
11,0.11444652908067542,2.6660412757973733,9.720450281425892,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,333.9793621013133,1114,0.9061913696060038,0,3.1501609842144145,-8,8
12,0.0,3.369175627240143,14.0,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,342.584229390681,1083,-0.07168458781362007,0,2.124341885601252,-4,4
